all,n,score
human population,1,0
haplotype,1,0
dna polymorphism,1,0
ferromagnetic resonance,1,0
dilute magnetic semiconductors,1,0
magnetic oxides,1,0
squid magnetometry,1,0
optical lithography,1,0
state-level data,1,0
cotton,1,0
crime report,1,0
safety and security,1,0
labour and employment,1,0
power and energy,1,0
health and family,1,0
odisha government data,1,0
art and culture,1,0
medical education,1,0
industrial development,1,0
economics and statistcs,1,0
technical education,1,0
tamil nadu,1,0
library details in pune,1,0
hawkers/ vendors,1,0
noise pollution,1,0
water tax,1,0
biochemical demand,1,0
birth rate,1,0
registered vehicles,1,0
pune datastore,1,0
ogd,1,0
open municipal corporation data,1,0
community services,1,0
economic services,1,0
flood control,1,0
irrigation,1,0
statistical data,1,0
citizen facilities,1,0
birth and death rate,1,0
vehicle registration,1,0
surat city,1,0
open government data (ogd),1,0
property tax,1,0
professional tax registration,1,0
surat municipal corporation,1,0
weather information,1,0
people,1,0
indian census,1,0
agricultural risk management,1,0
mechanization,1,0
soil fertility management,1,0
seed markets,1,0
seed systems,1,0
nepal,1,0
odisha,1,0
eastern uttar pradesh,1,0
bihar,1,0
bangladesh,1,0
marine data,1,0
interpolated maps,1,0
european seas,1,0
omics,1,0
plant products,1,0
plant breeding,1,0
cotton statistics,1,0
classification data,1,0
gin bale number,1,0
gin code number,1,0
gossypium barbadense,1,0
gossypium hirsutum,1,0
gossypium raimondii,1,0
gossypium arboreum,1,0
breeding,1,0
gossypium,1,0
upland cotton,1,0
mirbase,1,0
kegg,1,0
go,1,0
blastp,1,0
blastx,1,0
g. herbaceum,1,0
g. arboreum,1,0
g. barbadense,1,0
gossypium hirsutum l.,1,0
city,1,0
rural,1,0
governmental,1,0
behavioral data,1,0
clinical assessments,1,0
valence systems,1,0
motivation,1,0
emotion,1,0
mental disorders,1,0
neurosignal recording,1,0
egg,1,0
osteoarthritis,1,0
connectome coordination,1,0
adolescent brain,1,0
research domain criteria,1,0
epidemiological cohorts,1,0
german bight,1,0
benthos,1,0
contaminants,1,0
nutrients,1,0
oceanographic modeling,1,0
atmospheric modeling,1,0
federation,1,0
phenotypics,1,0
phenomics,1,0
crop improvement.,1,0
grape,1,0
information system,1,0
distributed information system,1,0
mouse lines,1,0
germ line transmission,1,0
genotyping,1,0
mendelian disease,1,0
transients,1,0
masers,1,0
radio galaxies,1,0
agn,1,0
evn,1,0
interferometry,1,0
radio astronomy,1,0
assembly constituencies elections,1,0
parliamentary constituencies elections,1,0
election analysis,1,0
lok sabha election,1,0
dna microarray,1,0
protein cluster,1,0
homologous superfamily,1,0
annotation,1,0
cell line,1,0
biological sample annotation,1,0
molecular entity,1,0
model,1,0
netcdf,1,0
multidimensional,1,0
water science,1,0
snow water equivalent,1,0
geographic raster,1,0
youth,1,0
institutions,1,0
volcanology,1,0
ruben recordings,1,0
military land use,1,0
interference,1,0
irradiation,1,0
biomolecular systems,1,0
computational materials science,1,0
biological molecul,1,0
interactions,1,0
subcellular localization,1,0
tissular localization,1,0
lipidomics data,1,0
hyperspectral,1,0
labeled trees,1,0
soil environmental science,1,0
tectonophysics,1,0
marine reef,1,0
boreal coastal ecysystems,1,0
kelp forests,1,0
white rhina,1,0
in vitro fertilization ivf,1,0
genetic materials,1,0
cryobiology,1,0
cell cultures,1,0
conservation genetics,1,0
swiss,1,0
forests,1,0
landscapes,1,0
research study,1,0
human participants,1,0
health-related interventions,1,0
health outcomes,1,0
central statistics office - cso,1,0
annual survey of industries  - asi,1,0
national sample survey office  - nsso,1,0
national sample survey - nss,1,0
open research data,1,0
france,1,0
archives,1,0
finances,1,0
genomic sequences,1,0
wallaby,1,0
plaster cast,1,0
paintings,1,0
sculptures,1,0
musical instruments,1,0
coins,1,0
pre- and early history,1,0
egyptology,1,0
seals,1,0
the humanities laboratory,1,0
språkbanken,1,0
swedish national data service (snd),1,0
national archives,1,0
the speech group,1,0
language council of sweden,1,0
ciltlab,1,0
computational linguistics and sign language,1,0
cell protection,1,0
self-digestion,1,0
microautophagy,1,0
chaperone-mediated autophagy,1,0
identification key,1,0
descriptive data,1,0
mycorrhiza,1,0
ectomycorrhizae,1,0
trait data,1,0
encyme,1,0
physical interaction,1,0
eth zurich,1,0
seawater,1,0
growth media,1,0
hydrothermalvents,1,0
polar oeceanography,1,0
seefloor,1,0
melts,1,0
sea samples,1,0
deep sea cores,1,0
coral cores,1,0
marine dredge samples,1,0
terrestrial cores,1,0
climap samples,1,0
ocean sediment cores,1,0
videowork,1,0
research exposition,1,0
artistic research,1,0
jar,1,0
journal for artistic research,1,0
amino acid sequences,1,0
genetic screening,1,0
genetic counselling,1,0
clinical genetics,1,0
canadian laboratories,1,0
brca1,1,0
brca2,1,0
cultural anthropology,1,0
lingustics,1,0
oral tradition,1,0
dialectology,1,0
multimodal corpora,1,0
eye-tracking,1,0
articulography,1,0
virtual reality,1,0
av-recording,1,0
hungarian language,1,0
hunghlish,1,0
speech technology,1,0
synonyms,1,0
bird-watching,1,0
ornithology,1,0
frog,1,0
salamander,1,0
caecilians,1,0
settlement density,1,0
fragmentation,1,0
hemerobie,1,0
urban open space,1,0
laserscans,1,0
building information models (bim),1,0
building industry,1,0
industry foundation classes (ifc),1,0
soil evolution,1,0
geoscience laser altimeter system - glas,1,0
icesat2,1,0
icesat,1,0
earth sience,1,0
human spaceflight,1,0
exploration,1,0
earth observatory,1,0
image composites,1,0
volcanoes,1,0
craters,1,0
remote sensing imagery,1,0
capital cities,1,0
historical data,1,0
infrared data,1,0
human dimensions,1,0
surface,1,0
geoengeneering,1,0
climate model,1,0
community climate model - ccm,1,0
nitric acid,1,0
nitrogene dioxide,1,0
ftir,1,0
fourier transfer infrared spectrometer,1,0
methane,1,0
space program,1,0
state and local area integrated telephone survey (slaits),1,0
longitudinal studies of aging (lsoa),1,0
national immunization survey (nis),1,0
national survey of family growth (nsfg),1,0
national nursing assistant survey (nnas),1,0
national nursing home survey (nnhs),1,0
national home and hospice care survey (nhhcs),1,0
national survey of ambulatory surgery (nsas),1,0
national hospital discharge survey (nhds),1,0
national hospital ambulatory medical care survey (nhamcs),1,0
national ambulatory medical care survey (namcs),1,0
national health and nutrition examination survey (nhanes),1,0
immune,1,0
infectious,1,0
health care and insurance,1,0
family life,1,0
national health interview survey,1,0
national death index,1,0
hydrometeorology,1,0
earth radiation budget,1,0
atmospheric longwave,1,0
atmospheric shortwave,1,0
a-train,1,0
fifs,1,0
trust funds,1,0
shareholder equity,1,0
procurement,1,0
financial reporting,1,0
microloans,1,0
sa bioenergy atlas,1,0
sa risk and vulnerability atlas,1,0
south african biomes,1,0
ecological modelling,1,0
ecosystem research,1,0
sa carbon atlas,1,0
cardiovascular system,1,0
myosin,1,0
neuromuscular system,1,0
water balance,1,0
gis tools,1,0
lifetime surveillance of astronaut health - lsah,1,0
human health and performance directorate - hh&p,1,0
space biology program - sp,1,0
medical capability,1,0
space radiation,1,0
psychosocial and behavioral health,1,0
international space station,1,0
space biology,1,0
human research program - hrp,1,0
california coastal ocean,1,0
salinity processes,1,0
data assimilation models,1,0
coastal water,1,0
czech maps,1,0
history of cartography,1,0
military maps,1,0
scientific maps,1,0
czech cartographers,1,0
genomic data,1,0
functional genomics experiments,1,0
protist,1,0
human pathogen,1,0
chip sequencing,1,0
giardia lamblia,1,0
trichomonas vaginalis,1,0
parasites,1,0
pathogene,1,0
microarray expression,1,0
cdna/est,1,0
genetic variation,1,0
athena repo,1,0
u. aegean repo,1,0
auth repo,1,0
cgl repo,1,0
uo a repo,1,0
ionian u. repo,1,0
hosted lrs repo,1,0
ncsr- d repo,1,0
living in newham,1,0
nssec,1,0
esec,1,0
ecass,1,0
microsocial change - misoc,1,0
understanding society - ukhls,1,0
british household panel survey - bhps,1,0
polar stratospheric clouds,1,0
ozone hole,1,0
crystalline structures,1,0
pauling file,1,0
materials platform,1,0
vilnius university,1,0
lithuania,1,0
eye,1,0
retinopathy,1,0
diabetic retinopathy,1,0
glaucomatous,1,0
corneal microscopy,1,0
psi,1,0
metaphysics,1,0
phenomenon,1,0
psyche,1,0
anima,1,0
telepathy,1,0
psychokinesis,1,0
neurodegenerative disease,1,0
india meghalaya,1,0
non-departmental public body,1,0
scottish natural heritage,1,0
historic environment,1,0
historical monuments,1,0
ancient monuments,1,0
heritage,1,0
pathogenic variations,1,0
japanese,1,0
next-generation sequencers,1,0
aqua satellite,1,0
amsu,1,0
hsb,1,0
gravity waves,1,0
atmospheric composition,1,0
cellular signatures,1,0
phenotype assays,1,0
biochemical assays,1,0
imaging assays,1,0
cell biological assays,1,0
l1000 assay,1,0
p100 assay,1,0
kinomescan,1,0
in-situ data,1,0
disaster risk management,1,0
urban,1,0
biosciences,1,0
library sciences,1,0
fashion,1,0
creative arts,1,0
clinical phonetic,1,0
clinical linguistic,1,0
family history,1,0
university research,1,0
science studies,1,0
ftir spectroscopy,1,0
column-averaged dry-air mole fractions,1,0
n2o,1,0
co,1,0
ch4,1,0
atmospheric trace gases,1,0
mammalian gene,1,0
gene annotation,1,0
neolithic,1,0
west nile delta,1,0
hermann junker,1,0
lithics,1,0
bifacial,1,0
pottery,1,0
bone tools,1,0
grinding stones,1,0
merimde beni salama,1,0
cognitive neuroscience,1,0
neuroradiology,1,0
brain imaging,1,0
optometry,1,0
informatics and computing,1,0
causal polymorphisms,1,0
the hordeum toolbox - tht,1,0
dna marker,1,0
breeders datafarm,1,0
t3/oat,1,0
t3/barley,1,0
t3/wheat,1,0
markov decision process,1,0
decision tree,1,0
probabilistic verification,1,0
counterexample explanation,1,0
liquid mechanics,1,0
knowledge,1,0
authority,1,0
epigraphy,1,0
early christianity,1,0
balances,1,0
monosaccharide,1,0
glycoconjugates,1,0
aglycons,1,0
glycan,1,0
social impact of science,1,0
infectious desease,1,0
pathogen,1,0
protein interactions,1,0
morpho,1,0
metacat,1,0
taxconomy,1,0
nagoya protocol,1,0
undesert,1,0
low carbon living,1,0
greenhous gases,1,0
immigrants,1,0
simulation projects,1,0
multidark,1,0
bolshoi,1,0
clues,1,0
multidark-planck - mdpl,1,0
bigmd,1,0
phylogenetic trees,1,0
rrna sequences,1,0
bacteria sequences,1,0
archaea sequences,1,0
deoxyribonucleic acid,1,0
protein biosynthesis,1,0
microbiome,1,0
experimental data,1,0
dna sequenzing,1,0
renovation,1,0
restoration,1,0
archaeobotany,1,0
archaeozoology,1,0
contruction research,1,0
chlamydoselachus anguineus,1,0
elasmobranch fishes,1,0
pacific rim,1,0
genome sequencing,1,0
australasian right whale photo-identification catalogue (arwpic),1,0
entanglement,1,0
incident,1,0
ship strike,1,0
injury,1,0
cetacean,1,0
sighting,1,0
stranding,1,0
binary and multiple stars database - bdb,1,0
catalogue of eclipsing variables - cev,1,0
inasan zvenigorod observatory photoplates database,1,0
russian virtual observatory,1,0
gcvs,1,0
vald,1,0
astrophysics data system - ads,1,0
mass spectra,1,0
peptide identification,1,0
oral narrative,1,0
letter,1,0
history of the basque country,1,0
basque language,1,0
basque culture,1,0
interdisciplinary law,1,0
sociology of law,1,0
legal philosophy,1,0
european law,1,0
interdisciplinary law research,1,0
international law,1,0
german language law,1,0
ontology mapping,1,0
digital landscape models dlm,1,0
digital terrain models dgm,1,0
digital topographic maps dtk,1,0
digital orthophotots dop,1,0
cartography,1,0
near-real-time data,1,0
chemical composition,1,0
environnment,1,0
heliospheric physics,1,0
stellar explosion,1,0
spectral induced polarization,1,0
sip,1,0
complex electrical rock properties,1,0
geoelectrics,1,0
pharmacogenomics,1,0
drug pathway,1,0
pharmacogenetics,1,0
drug  response,1,0
sources,1,0
law sources,1,0
swiss law sources,1,0
history of law,1,0
forenames,1,0
main forms,1,0
metabolite mass spectra,1,0
lipid metabolism,1,0
lipid classification system,1,0
lipids,1,0
molecule,1,0
lipid-based disease,1,0
mammalian cells,1,0
chemical fingerprints,1,0
cellular biology,1,0
magnetic resonance spectrometry,1,0
international migration flows - mpi mmg,1,0
adwg,1,0
berliner klassik,1,0
johann friedrich blumenbach,1,0
kant opus postumum,1,0
gottfried wilhelm leibniz,1,0
game,1,0
atmospheric sciences,1,0
mallorqui language,1,0
spoken catalan,1,0
dialectologia,1,0
plant chorology,1,0
species range maps,1,0
distribution maps,1,0
magnoliopsida,1,0
liliopsida,1,0
coniferophytina,1,0
pteridophyta,1,0
plant systematics,1,0
palaeo ecology,1,0
palaeo climatology,1,0
genetic study,1,0
genetic epidemiology,1,0
statistical genetics,1,0
fdat,1,0
norwegian polar region,1,0
polar management,1,0
svalbard,1,0
seabird tracking,1,0
digital asset management,1,0
audio,1,0
video,1,0
neurophysiology,1,0
neural activity,1,0
central nervous system cns,1,0
virtual laboratory,1,0
paleobotany,1,0
plant leaves,1,0
leaf morphology,1,0
leaf architecture,1,0
plant traits,1,0
cognitive science,1,0
geophysical phenomena,1,0
small angle scattering,1,0
sas,1,0
small angle x-ray scattering,1,0
saxs beamline p12,1,0
petra iii,1,0
information communication technology ict,1,0
emerging technologies,1,0
protein expression,1,0
terminology,1,0
human impacts,1,0
mykology,1,0
multiling,1,0
nealt,1,0
nals,1,0
glossa,1,0
scandinavian literature,1,0
epigraphic monuments,1,0
multilingual stemmatology,1,0
cuneiform scripts,1,0
educational research,1,0
teaching interaction,1,0
construction survey,1,0
market economy,1,0
economic situation,1,0
industry survey,1,0
iwh fdi micro database,1,0
volatility,1,0
growth,1,0
financial markets,1,0
management-buy-outs (mbo),1,0
international banking library,1,0
banks,1,0
securities,1,0
households,1,0
balance sheet statistics - bista,1,0
external position of banks - austa,1,0
quarterly borrowers statistics - vjkre,1,0
mfi interest rate statistics - zista,1,0
statistics of the banks profit and loss account - guv,1,0
securities holdings statistics - shs-base,1,0
microdatabase direct investment - midi,1,0
statistics on inernational trad in services - sits,1,0
corporate balances sheets - ustan,1,0
panel on household finances - phf,1,0
metabolic symtoms,1,0
metabolic findings,1,0
symptoms laboratory findings,1,0
laboratory findings,1,0
territorial change,1,0
formal alliances,1,0
world religion,1,0
colonial dependency,1,0
bilateral trade,1,0
diplomatic exchange,1,0
militarized interstate disputes,1,0
election data,1,0
income inequality,1,0
macroeconomy,1,0
social expenditure,1,0
socio-economiy,1,0
productivity,1,0
gross domestic product gdp,1,0
global economic indicators,1,0
welfare economics,1,0
capital,1,0
real national accounts data,1,0
prices,1,0
interview,1,0
university history,1,0
thalamus,1,0
naturopathy,1,0
homeopathy,1,0
hygiene,1,0
gastrointestional endoscopy,1,0
harold j. spaeth,1,0
reliability analyses,1,0
jurisdiction,1,0
court,1,0
numerical studies,1,0
case centered data,1,0
justice centered data,1,0
greenhouse,1,0
population dynamics,1,0
world events,1,0
social capital,1,0
u.s.,1,0
counties,1,0
phenotype-genotype,1,0
usher syndrome,1,0
rare deseases,1,0
retinitis pigmentosa,1,0
natural disaster,1,0
technological disaster,1,0
economic damage estimates,1,0
humanitarian action,1,0
industrial accident,1,0
extreme temperature,1,0
epidemic,1,0
unalloyed steels,1,0
low-alloy steels,1,0
high-alloy steels,1,0
aluminium alloys,1,0
titanium alloys,1,0
weld materials,1,0
copper alloys,1,0
material,1,0
cast steels,1,0
cast irons,1,0
sismob,1,0
geoscope,1,0
ldg,1,0
rap,1,0
rlbp,1,0
ocean bottom seismometer,1,0
obs,1,0
geodetic,1,0
computer usage,1,0
area,1,0
domestic,1,0
legislation,1,0
military data,1,0
political data,1,0
communications,1,0
sequence read archive (sra),1,0
health research,1,0
medical knowledge,1,0
emergency,1,0
impaired consciousness,1,0
trauma,1,0
head injury,1,0
controlled clinical trial,1,0
cards,1,0
street cards,1,0
korea,1,0
cross-national equivalent file - cnef,1,0
flux,1,0
wage settings,1,0
state intervention,1,0
social pacts,1,0
molecular transitions,1,0
infrared properties,1,0
fourier transform spectrometry,1,0
lambert-beers law of transmission,1,0
microwaves,1,0
planetary atmosphere,1,0
sydney,1,0
plan,1,0
metabolome,1,0
antioxidants,1,0
bioactive phytochemicals,1,0
food processing,1,0
food composition,1,0
drug metabolism,1,0
compound,1,0
biomolecule,1,0
pharmaceutical,1,0
actuators,1,0
performance test tools,1,0
motion,1,0
luminance,1,0
relay,1,0
meteo,1,0
live,1,0
historical,1,0
f-interop,1,0
sars,1,0
multimodal measures,1,0
human activity,1,0
synchronization,1,0
teleoperator,1,0
kitchen,1,0
food toxins,1,0
molecular  interactions,1,0
cellular interactions,1,0
toxic exposome,1,0
grus vigilans,1,0
mesolithikum,1,0
shkr,1,0
radon,1,0
radon-b,1,0
okolište,1,0
denghoog,1,0
aves vigilantes,1,0
emblem studies,1,0
correspondance-analysis,1,0
anthropometric,1,0
whole-body motions,1,0
motion description tree (mdt),1,0
motion annotation tool,1,0
crop yield,1,0
crop insurance,1,0
grape cost,1,0
spot price,1,0
co2 calculator,1,0
insurance data,1,0
market shocks,1,0
financial analytics,1,0
agricultural and development finance,1,0
expressed sequence tags (ests),1,0
gene expression patterns,1,0
single nucleotide polymorphisms (snps),1,0
cytogenetics,1,0
tumor gene index,1,0
lifespan,1,0
research into ageing,1,0
ageing phenotype data,1,0
single nucleotide polymorphism,1,0
canidae,1,0
grey wolf,1,0
location,1,0
geoscientific information,1,0
planning cadastre,1,0
land-use plan,1,0
rheinland-pfalz,1,0
rhineland-palatinate,1,0
circuits,1,0
animal behavior,1,0
dna methyltransferases,1,0
crystals,1,0
endonuclease,1,0
non-coding rna,1,0
tv,1,0
radio,1,0
documentary,1,0
media,1,0
movie,1,0
broadcast,1,0
lakes,1,0
north america,1,0
inland water levels,1,0
kalman filter,1,0
chemical-protein interactions,1,0
biochemical processes,1,0
chemical models,1,0
pharmaceutical preparations,1,0
protein interaction mapping,1,0
stereoisomerism,1,0
trmm,1,0
gpm,1,0
extreme weather,1,0
floods,1,0
landslides,1,0
climate prediction,1,0
tropical storm,1,0
global water cycle,1,0
climate dynamics,1,0
microphysics,1,0
osiris,1,0
circe,1,0
multi-object spectroscopy (mos),1,0
la palma,1,0
canaricam,1,0
aila,1,0
avaa,1,0
doria,1,0
etsin,1,0
generalist,1,0
structural,1,0
creative arts and writing,1,0
electronic media art,1,0
built environment and design,1,0
sport and exercise science,1,0
publishing,1,0
urban infrastructure,1,0
marine coastal,1,0
nature biodiversity,1,0
water management,1,0
cordex,1,0
specs,1,0
clipc,1,0
biobanking,1,0
cytogenomics,1,0
genetic analysis,1,0
microarray analysis,1,0
statistical analysis,1,0
chromosomal abnormalities,1,0
dna sequenzes,1,0
ontario,1,0
pain processing,1,0
bioinformatic,1,0
nociception,1,0
analgesia,1,0
hypersensitivity,1,0
isotopes,1,0
rain,1,0
tritium,1,0
rna sequencing data,1,0
mouse brain,1,0
primate brain,1,0
trinity river task force,1,0
river restoration projects,1,0
flows,1,0
gravel restoration,1,0
bird sightings,1,0
bird count,1,0
famine,1,0
fews.net,1,0
crop failure,1,0
statistical climatology,1,0
chirp,1,0
chirps,1,0
chpclim,1,0
centrends,1,0
fruitfly,1,0
reagent,1,0
study,1,0
biological sciences,1,0
gender studies,1,0
family and household studies,1,0
homosexual men,1,0
drug users,1,0
social behaviour,1,0
medical data,1,0
socio-demographic profile,1,0
behaviour and cognition,1,0
longitudinal study,1,0
psychosocial data,1,0
environment biomarker,1,0
developmental psychopathology,1,0
biological signature,1,0
warehouse,1,0
economic studies,1,0
social studies,1,0
municipal water and wastewater survey - mwws,1,0
water sources,1,0
water use,1,0
water conservation,1,0
wildland fire,1,0
burn,1,0
fire behavior,1,0
fuel moisture,1,0
canadian forest fire weather index fwi,1,0
north american ensemble forecast system naefs,1,0
canadian national fire database,1,0
surface air temperature,1,0
surface pressure,1,0
surface wind speed,1,0
neurodevelopmental disorder,1,0
asds autism spectrum disorders,1,0
bioclimate profiles,1,0
climate modelling,1,0
world climate research programme (wcrp),1,0
intergovernmental panel on climate change (ipcc),1,0
interpro annotation,1,0
gene ontology annotation,1,0
pseudomonas orthologs group (pog),1,0
antibiotic resistance,1,0
cosmid,1,0
expressed sequence tag (est) sequences,1,0
cdna libraries,1,0
pathway predictions,1,0
sequence annotations,1,0
taxon,1,0
gene-ontology,1,0
protein-protein-interaction,1,0
telemetry,1,0
animal movements,1,0
sea animals,1,0
marine conditions,1,0
fish migration patterns,1,0
solanaceae,1,0
unigenes,1,0
tomato,1,0
pepper,1,0
eggplant,1,0
chemometrics,1,0
analytics platform,1,0
anthropological,1,0
archaeological,1,0
cultural diversity,1,0
language family,1,0
cultural features,1,0
glottolog code,1,0
ethnographic atlas (ea),1,0
binford hunter-gatherer,1,0
cross-cultural,1,0
drug discovery,1,0
drug target,1,0
binding affinity,1,0
small molecule-protein interaction,1,0
interaction,1,0
chemical genomics,1,0
spectrometers,1,0
high resolution spectrometry,1,0
neutron reflectometry,1,0
scientific ocean drilling,1,0
scientific continental drilling,1,0
opencorenotebooks,1,0
protein analysis,1,0
mass spectometry,1,0
agrifood,1,0
power,1,0
aerospace,1,0
manufacturing,1,0
pharmacy information,1,0
pathology reports,1,0
laboratory results,1,0
icd-9 codes,1,0
hospital admission,1,0
human ecology,1,0
adults,1,0
forest and grassland,1,0
resource management,1,0
land-use,1,0
ecosystem processes,1,0
ecosystem services,1,0
text corpora,1,0
coasts,1,0
snow  & ice,1,0
ers-1,1,0
ers-2,1,0
envisat,1,0
goce,1,0
smos,1,0
cryosat,1,0
cadrisq,1,0
economic data,1,0
citizenship,1,0
visitors,1,0
asylum,1,0
molecularbiology,1,0
parathyroid hormone pth,1,0
protein coupled receptors,1,0
human chromosome,1,0
satellite derived,1,0
northwest atlantic,1,0
east coast of canada,1,0
coastal time series,1,0
hydrographic,1,0
temperature-salinity profiles,1,0
gene mutation,1,0
ar - androgen receptor,1,0
aladdin,1,0
bibliography of atomic and molecular collision references,1,0
redbooks,1,0
multicharged ion research facility,1,0
crossed electron-ion beams experiment,1,0
meibel,1,0
merged ion-atom beams experiment,1,0
merged electron-ion beams energy-loss,1,0
ion-surface experiment,1,0
astro,1,0
tamoc,1,0
adndt,1,0
mirf,1,0
apip,1,0
psif,1,0
icamdata,1,0
elastic,1,0
chemistry samples,1,0
meristics,1,0
biota,1,0
dioxin,1,0
chemical contaminants,1,0
effluent discharge monitoring edm,1,0
electronic data transfer edt,1,0
environmental management act ema,1,0
environmental monitoring databases,1,0
global mapping functions (gmf),1,0
vienna mapping functions (vmf),1,0
slr,1,0
doris,1,0
gnss,1,0
horizontal troposphere gradients (grad),1,0
global pressure and temperature (gpt),1,0
biological pathways,1,0
gene expresson,1,0
saami,1,0
norwegian,1,0
treebanks,1,0
sport science,1,0
fish farming,1,0
cinematics,1,0
design studies,1,0
culture studies,1,0
human maladies,1,0
symptomes,1,0
biological pathway,1,0
spectrophotometry,1,0
kinematics,1,0
vegetaton,1,0
terrestrial ecosystem,1,0
human-nature interactions,1,0
polynesia,1,0
plant specimens,1,0
micronesia,1,0
fiji,1,0
plant families,1,0
vascular plants,1,0
georeference,1,0
pacific biogeography,1,0
peri-urban ecosystems,1,0
soundscape,1,0
acoustics monitoring,1,0
phenocamera,1,0
leaf area index,1,0
above ground biomass,1,0
photopoint,1,0
ants,1,0
soil microbes,1,0
coarse woody debris,1,0
recruitment,1,0
ecosystem observatory,1,0
netherlands,1,0
historiography,1,0
magnetic resonance images,1,0
labels,1,0
computational neuroscience,1,0
icmje,1,0
ictrp,1,0
patient study,1,0
surgery,1,0
who,1,0
melbourne code,1,0
kew rule,1,0
gray herbarium card index,1,0
index nominum genericorum,1,0
australian plant names index - apni,1,0
gray card index - gci,1,0
index kewensis - ik,1,0
hydat,1,0
historical station information,1,0
water quantity monitoring,1,0
municipal water and wastewater survey mwws,1,0
hunting zones,1,0
bird population,1,0
goose,1,0
murre harvest survey,1,0
canadian wildlife service - cws,1,0
wingbee,1,0
seismogram,1,0
epicentral solutions,1,0
births,1,0
population census,1,0
population survey,1,0
natality,1,0
morbidity,1,0
hospital discharges,1,0
soil resource,1,0
land resource,1,0
seed storage,1,0
rejuvenation,1,0
genebank,1,0
marine geographics,1,0
radioactivity,1,0
algae ecology,1,0
fish behaviour,1,0
surveillance,1,0
organochlorine pesticides,1,0
polyaromatic hydrocarbons,1,0
pcbs,1,0
flame retardants,1,0
pfos,1,0
iceberg,1,0
ice atlas,1,0
ice climatology,1,0
oil pollution monitoring,1,0
ice graph,1,0
lower plants,1,0
higher plants,1,0
ireland,1,0
space electromagnetic environment,1,0
atmospheric radar,1,0
equatorial atmosphere,1,0
global atmosphere,1,0
wood diversity,1,0
basidiomycetes,1,0
southpole,1,0
acacia mangium,1,0
xylarium,1,0
geotail,1,0
ear,1,0
pwi - plasma wave instrument,1,0
human tracking,1,0
activity,1,0
behavior recognition,1,0
human segmentation,1,0
mocap systems,1,0
biometrics,1,0
sports sciences,1,0
biomechanics,1,0
time,1,0
measuring,1,0
sundials,1,0
technical,1,0
mathematical,1,0
medical,1,0
scientific,1,0
polar atmosphere,1,0
medium energy proton and electron detector meped,1,0
total energy detector ted,1,0
ocean dynamic,1,0
volcanic eruption,1,0
forest fire detection,1,0
global vegetation,1,0
geomagnetic activity,1,0
solar-terrestrial physics,1,0
geophysical events,1,0
astronomical events,1,0
hisklid,1,0
weikinn,1,0
historial climatology,1,0
flood marks,1,0
global pollution,1,0
cloud research,1,0
polar research,1,0
tropospheric ozone,1,0
uv radiation,1,0
atmopsheric trace gases,1,0
atmospheric methane,1,0
specimen,1,0
body,1,0
organ,1,0
lobule,1,0
dengue,1,0
mmwr,1,0
morbidity mortality weekly report,1,0
chickenpox,1,0
polio,1,0
measles,1,0
leeds,1,0
dialectic comprehension,1,0
language recognition,1,0
name transliteration,1,0
text,1,0
life  sciences,1,0
western amazon,1,0
host responses,1,0
viral families,1,0
influenza virus,1,0
eukaryotic pathogen species,1,0
science history,1,0
vehicle routing problems,1,0
optimization,1,0
operations research,1,0
language technology,1,0
digital language data,1,0
grammars,1,0
rankings,1,0
fred data,1,0
pain patient,1,0
health problem,1,0
interstitial cystitis,1,0
painful bladder syndrome,1,0
irritable bowel syndrome,1,0
vulvodynia,1,0
fibromyalgia,1,0
diffusion tensor imaging,1,0
  dti,1,0
chronic pain,1,0
magnetic reversals,1,0
magnetohydrodynamics,1,0
interactive data visualization,1,0
statistical methods,1,0
visual analytics,1,0
quantiatitve data,1,0
youth crime,1,0
recalls of employers,1,0
interviews to paternal lifestyle,1,0
interviews on ethnicity,1,0
inequality research,1,0
growing up in germany - aid:a,1,0
childcare study - kifög,1,0
transition panel,1,0
children panel,1,0
youth surveys,1,0
family surveys,1,0
reading components,1,0
numeracy,1,0
problem solving in technology rich environments,1,0
competencies in later life - cill,1,0
thermodynamic data,1,0
radio-toxic elements,1,0
pitzer interaction coefficients,1,0
oceanic salts,1,0
chemical-toxic elements,1,0
query structured data,1,0
record provenance,1,0
dream challenges,1,0
research communities,1,0
amp-ad knowledge portal,1,0
tcga pan-cancer working group,1,0
github,1,0
agroecosystem,1,0
economic statistics,1,0
life cycle assessment,1,0
exoplanets,1,0
planetary systems,1,0
solar systems,1,0
histograms,1,0
lichen traits,1,0
identification keys,1,0
lichenology,1,0
tide gauges,1,0
high frequency data,1,0
odinafrica,1,0
stations,1,0
rlr,1,0
sea level change,1,0
astronomer,1,0
astrophysicist,1,0
astrophysics codes,1,0
ads,1,0
astrophysics data system,1,0
force fields,1,0
molecular dynamics simulation,1,0
transferability of interatomic models,1,0
interatomic potentials,1,0
interatomic models,1,0
surgical and adjuvant treatments,1,0
chemotherapy,1,0
hormone therapy,1,0
patient characeteristics,1,0
survival,1,0
malignant neoplastic diseases,1,0
image processing,1,0
signals,1,0
eeg electroencephalography signals,1,0
functional magnetic resonance imaging maps,1,0
computer-human interaction,1,0
familiy planning,1,0
matrimony,1,0
area of residence,1,0
family type,1,0
ethnic group,1,0
health inequalities,1,0
scotland,1,0
behaviours,1,0
heart diseases,1,0
beliefs,1,0
